item_code,item_name,unit,stats_data_id,field,kind,role,tier,group,col_name,notes,in_latest
C210843,C210843_事業所数（民営）（小売業）,事業所,0000020203,C,basic,x,B,estab_industry_extra,x_C210843,業種・規模の探索用（自動追加）,yes
C210844,C210844_事業所数（民営）（金融業、保険業）,事業所,0000020203,C,basic,x,B,estab_industry_extra,x_C210844,業種・規模の探索用（自動追加）,yes
C210845,C210845_事業所数（民営）（不動産業、物品賃貸業）,事業所,0000020203,C,basic,x,B,estab_industry_extra,x_C210845,業種・規模の探索用（自動追加）,yes
C210846,C210846_事業所数（民営）（学術研究、専門・技術サービス業）,事業所,0000020203,C,basic,x,B,estab_industry_extra,x_C210846,業種・規模の探索用（自動追加）,yes
C210847,C210847_事業所数（民営）（宿泊業、飲食サービス業）,事業所,0000020203,C,basic,x,B,estab_industry_extra,x_C210847,業種・規模の探索用（自動追加）,yes
C210848,C210848_事業所数（民営）（生活関連サービス業、娯楽業）,事業所,0000020203,C,basic,x,B,estab_industry_extra,x_C210848,業種・規模の探索用（自動追加）,yes
C210849,C210849_事業所数（民営）（教育、学習支援業）,事業所,0000020203,C,basic,x,B,estab_industry_extra,x_C210849,業種・規模の探索用（自動追加）,yes
C210850,C210850_事業所数（民営）（医療、福祉）,事業所,0000020203,C,basic,x,B,estab_industry_extra,x_C210850,業種・規模の探索用（自動追加）,yes
C210851,C210851_事業所数（民営）（複合サービス事業）,事業所,0000020203,C,basic,x,B,estab_industry_extra,x_C210851,業種・規模の探索用（自動追加）,yes
C210852,C210852_事業所数（民営）（サービス業（他に分類されないもの））,事業所,0000020203,C,basic,x,B,estab_industry_extra,x_C210852,業種・規模の探索用（自動追加）,yes
C2110,C2110_第1次産業事業所数（経済センサス‐基礎調査結果）,所,0000020203,C,basic,x,B,estab_industry_extra,x_C2110,業種・規模の探索用（自動追加）,yes
C220701,C220701_従業者数（公務を除く）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220701,業種・規模の探索用（自動追加）,yes
C220702,C220702_従業者数（農林漁業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220702,業種・規模の探索用（自動追加）,yes
C220703,C220703_従業者数（農業、林業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220703,業種・規模の探索用（自動追加）,yes
C220704,C220704_従業者数（漁業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220704,業種・規模の探索用（自動追加）,yes
C220705,C220705_従業者数（非農林漁業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220705,業種・規模の探索用（自動追加）,yes
C220706,C220706_従業者数（非農林漁業（公務を除く））,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220706,業種・規模の探索用（自動追加）,yes
C220707,C220707_従業者数（鉱業、採石業、砂利採取業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220707,業種・規模の探索用（自動追加）,yes
C220708,C220708_従業者数（建設業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220708,業種・規模の探索用（自動追加）,yes
C220710,C220710_従業者数（電気・ガス・熱供給・水道業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220710,業種・規模の探索用（自動追加）,yes
C220711,C220711_従業者数（情報通信業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220711,業種・規模の探索用（自動追加）,yes
C220712,C220712_従業者数（運輸業、郵便業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220712,業種・規模の探索用（自動追加）,yes
C220713,C220713_従業者数（卸売業、小売業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220713,業種・規模の探索用（自動追加）,yes
C220714,C220714_従業者数（卸売業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220714,業種・規模の探索用（自動追加）,yes
C220716,C220716_従業者数（金融業、保険業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220716,業種・規模の探索用（自動追加）,yes
C220717,C220717_従業者数（不動産業、物品賃貸業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220717,業種・規模の探索用（自動追加）,yes
C220718,C220718_従業者数（学術研究、専門・技術サービス業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220718,業種・規模の探索用（自動追加）,yes
C220721,C220721_従業者数（教育、学習支援業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220721,業種・規模の探索用（自動追加）,yes
C220722,C220722_従業者数（医療、福祉）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220722,業種・規模の探索用（自動追加）,yes
C220723,C220723_従業者数（複合サービス事業）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220723,業種・規模の探索用（自動追加）,yes
C220724,C220724_従業者数（サービス業（他に分類されないもの））,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220724,業種・規模の探索用（自動追加）,yes
C220725,C220725_従業者数（公務（他に分類されるものを除く））,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220725,業種・規模の探索用（自動追加）,yes
C2208,C2208_従業者数（民営）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C2208,業種・規模の探索用（自動追加）,yes
C220801,C220801_従業者数（民営）従業者1～4人,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220801,業種・規模の探索用（自動追加）,yes
C220802,C220802_従業者数（民営）従業者5～9人,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220802,業種・規模の探索用（自動追加）,yes
C220803,C220803_従業者数（民営）従業者10～29人,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220803,業種・規模の探索用（自動追加）,yes
C220804,C220804_従業者数（民営）従業者30～49人,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220804,業種・規模の探索用（自動追加）,yes
C220805,C220805_従業者数（民営）従業者50～99人,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220805,業種・規模の探索用（自動追加）,yes
C220820,C220820_従業者数（民営）（個人事業所）（経済センサス‐活動調査結果）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220820,業種・規模の探索用（自動追加）,yes
C220821,C220821_従業者数（民営）（法人事業所）（経済センサス‐活動調査結果）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220821,業種・規模の探索用（自動追加）,yes
C220822,C220822_従業者数（民営）（会社事業所）（経済センサス‐活動調査結果）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220822,業種・規模の探索用（自動追加）,yes
C220823,C220823_従業者数（民営）（会社以外の法人）,人,0000020203,C,basic,x,B,estab_industry_extra,x_C220823,業種・規模の探索用（自動追加）,yes
